Chromatogram	Year	Growth	Variety	2-Methylcitrate	2-Phospho-D-glycerate	4-Aminobutanoate	Adenosine	Citrate	D-Gluconic acid	D-Glucono-1,5-lactone	Ethanolamine	Fructose	Fumarate	Glucose	Glycine	Inositol 1-phosphate	L-Alanine	L-Arginine	L-Asparagine	L-Aspartate	L-Citrulline	L-Isoleucine	L-Leucine	L-Methionine	L-Phenylalanine	L-Proline	L-Serine	L-Threonine	L-Tryptophan	L-Valine	Lysine	Malate	Pantothenate	Ribitol	Succinate	Sucrose	alpha,alpha-Trehalose	beta-Alanine	myo-Inositol	trans-4-Hydroxy-L-proline
2007_AntoniusD140_3	y2007	organic	Antonius	0.013437269007906941	0.0303807477467587914	0.0182163783832050508	0.0988076391434192919	0.433733768177991033	0.0688700381048858647	0.668888347872277009	0.0698181605197639649	1.48066631091391263	0.5640982281678153	0.417489618186131544	0.238336712146681378	0.187102093156758467	0.283234053228611344	0.109617681238275859	0.0492643349067039965	2.29433499695022477	0.0468165287475806001	0.122501366836363892	0.159601643468814411	0.019212330777998665	0.0692185358935060573	0.409237663407341786	0.200643188218628353	0.0407270334672475374	1.85729116084510497	0.169876300877917485	0.274654054782693719	1.13968475087738668	0.0198821060414659933	4.784688995215311	0.0373096397315278589	142.999911880767035	7.72142098626759847	0.0187302979072403626	0.546260601007681068	0.326753657571999308
2007_AntoniusD140_4	y2007	organic	Antonius	0.0137453986373611515	0.0394850912649476637	0.0252004201973441055	0.11852725643438241	0.449642171360554047	0.0701734410192933872	0.808320463567290637	0.0822144042519587236	1.58173980086826988	0.650572973152655914	0.441830412213193257	0.263734609399213817	0.186576686891747625	0.358020965260818021	0.134967523807197516	0.0487873540096594204	2.42191818274084598	0.0246824289416543276	0.13188787650167445	0.187190256755954473	0.021916697628479514	0.0719055792863015718	0.409647078614222329	0.22413407709616663	0.046537000474597746	1.84760200502723126	0.195450115301526933	0.327009515007211858	1.21700092883209619	0.0229131046222699704	5.29100529100529101	0.0450186446733586019	140.669341563803846	8.97963625561293154	0.0205026569179422035	0.622768558568736974	0.397060197251191133
2007_AntoniusD201_3	y2007	organic	Antonius	0.0102316415611068665	0.0298202888383020265	0.019285963530035039	0.137945356308746224	0.275642215999729825	0.134627228281294111	0.74053388453904116	0.104921566062871405	1.66829201239177174	0.545668700214874949	0.426279795838980282	0.360047214929813291	0.164229518129789284	0.198920326782102998	0.101974203047719857	0.0469363357186821702	2.03258958238671023	0.07715608095959395	0.0942266245454159392	0.126700762781299738	0.0149566203032111741	0.0618227906363914571	0.477313095364185512	0.143034222465958339	0.0313728195662190298	1.01188698083492295	0.157160320805134799	0.24680778556306867	1.07086300199894181	0.0186409282781686806	5.34759358288770053	0.0413809739539005787	117.755263573868342	7.30104994879859533	0.0190941549861036426	0.646573680046496247	0.370953833605312569
2007_AntoniusD201_4	y2007	organic	Antonius	0.0101203723305491132	0.0312276533879597943	0.0214028132367357066	0.14087842459177334	0.279363890315490724	0.135143014058134932	0.711445268767444531	0.10062771948396625	1.63312563659316478	0.505261577642864718	0.432546588567988209	0.348465831844634215	0.159674592159111563	0.194973466728378658	0.103673527946993131	0.0467282791594496964	1.90653703478047113	0.0767062783070973633	0.095542627881273638	0.123378944581506991	0.0144210198089639996	0.0605247804658216726	0.451142710230315486	0.140517774106435803	0.030249212262926314	0.934770628698542326	0.154555429177348898	0.244450849424786857	0.975102747119743257	0.0185950723626095403	5	0.0408646071661961257	107.16991360942598	7.24546868249569445	0.0178753762032674773	0.608935475930934698	0.365548925037497343
2007_AntoniusD243_3	y2007	organic	Antonius	0.0120635694272715405	0.0330892059181722236	0.0267736075311182277	0.184343322367124578	0.295317380578644849	0.172512187667376582	0.648700670389263526	0.0984096411252753908	1.30373395763254616	0.415469051532352427	0.396732107657760276	0.370325982536888766	0.181575589024798005	0.25373492430088248	0.0909150447606381592	0.0455011686007296115	2.05762596646018364	0.0858109929781006793	0.0944407146184110789	0.131999629993421086	0.0160372844001260367	0.0614767853239820575	0.316466417132292581	0.157360769475434656	0.0329867715713821982	2.11936915873661961	0.166030934240662154	0.267378040414916193	1.01307180721335881	0.0217660368673829764	4.92610837438423645	0.035395822927444014	118.328768213260248	7.33128159066600176	0.0205637436498474923	0.571902670457687599	0.335624746014020957
2007_AntoniusD243_4	y2007	organic	Antonius	0.0111699404486400865	0.0372161522129271213	0.0267298990097616276	0.182387363662452208	0.248519027529092814	0.157236847928895109	0.66677991999241473	0.0964855768844221881	1.30755364336032773	0.410769272283838979	0.367259810416785206	0.365685857766694397	0.174912392639344228	0.250707784219742088	0.0958654851289635221	0.0390326251923595652	2.05388294668985575	0.0677491329812479308	0.0920621175479773023	0.127999857500370776	0.0147516527374584356	0.0599626155126686689	0.314259900682365888	0.15932921100602586	0.034474829315206879	1.74457363335499934	0.166189663811002413	0.259482389818591278	1.02913151623649882	0.0209486402336733249	5.31914893617021277	0.0366763051038593382	131.564964649467933	7.65716717156674395	0.0215587996597924248	0.520782038628289354	0.325647494909195315
2007_AntoniusD323_3	y2007	organic	Antonius	0.0121332160810353821	0.0311010401130236325	0.0219186665763363213	0.182386948064526524	0.366012486324807994	0.135232394361977145	0.688099447171414899	0.103050056882474395	1.52442139066931011	0.511769693359849659	0.379120574426684795	0.403075988260225275	0.149082817416635339	0.238228743109129722	0.110990008646717134	0.0472815902883105798	2.47098043799441105	0.0668576440889433338	0.0952052999804687294	0.12568787076645317	0.0162040020670941373	0.0632854915658723828	0.28307853737120235	0.164741678607129667	0.0374672047828362624	3.1375926012754078	0.159262259694297071	0.258972701121760541	1.27774104818453853	0.0197305720398919584	5.34759358288770053	0.0528307703215611833	118.934662746483048	7.57496799019742791	0.0212692143274448132	0.657090166713941089	0.388104300530515147
2007_AntoniusD323_4	y2007	organic	Antonius	0.0126711467133347473	0.033304874880387129	0.0244046112219328057	0.182052830513461364	0.368612109914154412	0.163361945178723566	0.618008151306229234	0.101284347333919184	1.37838078668890905	0.464822054338723818	0.35773143745830661	0.410263134523275258	0.165178186244176341	0.246363339117878824	0.0990293689615432914	0.0477673887603957561	2.40195524263668185	0.076209288871053711	0.0902676337855191197	0.126066659141925359	0.0157284677693990868	0.0674677079309632078	0.309997086337827437	0.156729734634310965	0.0342217012776861293	3.79403542474690857	0.159658987001277816	0.239877374342440596	1.25991463432539931	0.0219543408545287713	4.95049504950495049	0.0539012284200435306	78.521974178362818	7.15961437139060962	0.0190503450617066438	0.570757948302751572	0.411917057454388836
2007_CCP2_D_138_3	y2007	organic	CCP	0.0128670258703191614	0.047051958780101886	0.0349473666283422775	0.13359584079362479	0.611020008447030726	0.156350774638475824	0.728435183853052555	0.12987744542424424	1.32756608718825792	0.721624185850157352	0.401704012109333632	0.374327972089267356	0.180061238492555735	0.21056451982662343	0.134710976656588273	0.0591339688086712267	3.70459864898092344	0.119223084878720648	0.123516750267677006	0.169969134539684745	0.0219117403297974719	0.0871220226419788301	0.470374909113460873	0.223578712245530015	0.0538325283288678295	4.09764107722931195	0.227568667214969804	0.321233572990440741	2.1710755605925581	0.0277421383392440931	6.41025641025641026	0.0677603398673535576	193.552143933609158	8.81816562391148425	0.0354897203327593891	1.01737325869860476	0.688963737629643051
2007_CCP2_D_138_4	y2007	organic	CCP	0.0127677173021759883	0.0512720711959348226	0.0383185659136996861	0.139105839445592532	0.610480608891195182	0.218412546132094227	0.673778885257066391	0.119640900006103455	1.36179555775561174	0.715831576397515347	0.411960986865804839	0.365813253160468763	0.186347147766122305	0.22647341596770553	0.123088062333379194	0.0483009393241857443	3.6147665342574481	0.130698154448617506	0.118152956377633278	0.155648348716843181	0.0181839370562392399	0.083400109463391824	0.445535974061807227	0.217370132902406668	0.0510433207703544945	4.4833056635780019	0.212731828574116231	0.295753310989002695	2.10451408202459954	0.0309467349944242535	5.88235294117647059	0.069892355838173527	183.799866164111219	7.44551938432664166	0.0327819857206572511	1.08602995061953904	0.699197894913631964
